[2023-02-02 17:35:52]down c++ key = [229], ctrl = 0, shift = 0
[2023-02-02 17:35:53]down c++ key = [229], ctrl = 0, shift = 0
[2023-02-02 17:35:53]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:53]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:35:54]up c++ key = [18], ctrl = 0, shift = 1
[2023-02-02 17:35:54]up c++ key = [16], ctrl = 0, shift = 0
[2023-02-02 17:35:54]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:35:54]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:54]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:55]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:55]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:35:55]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:55]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:55]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:55]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:35:58]down c++ key = [27], ctrl = 0, shift = 0
[2023-02-02 17:35:58]up c++ key = [27], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:35:59]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:35:59]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:36:00]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:36:00]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:36:00]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:36:00]down c++ key = [65], ctrl = 0, shift = 0
